"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa.mir.19b.1",1.06512458172957,6.49244610284713,5.81644230898438,1.15977474123218e-08,7.22873297617317e-08,9.09915976572922
"hsa.mir.92a.1",0.964413075737156,12.6166384779347,5.79186371870576,1.32899584867608e-08,8.06257481530158e-08,8.81439332364451
"hsa.mir.7705",2.04943927880101,0.861640722337097,5.70330790652262,2.16252931385017e-08,1.27785823091146e-07,8.74325345443958
"hsa.mir.92a.2",0.948359802677817,12.4207185614336,5.76584430380086,1.53433785151954e-08,9.18583845317617e-08,8.67907680374632
"hsa.mir.181a.1",1.03785843609938,9.50837222087855,5.65025811463885,2.8864427497994e-08,1.68375827071632e-07,8.13940865882459
"hsa.mir.377",-1.70114698687723,1.73974591606958,-5.60241642571754,3.73799088186278e-08,2.15289348259185e-07,8.0509336747877
"hsa.mir.487a",-1.57630311206959,0.22146116687506,-5.50291494783263,6.36302857379147e-08,3.48816626635556e-07,7.61579513761567
"hsa.mir.487b",-1.40247813681626,2.22369511100708,-5.49582009869088,6.60706031127781e-08,3.57882433527548e-07,7.49031298448897
"hsa.mir.200c",2.29548050405096,13.2963102869106,5.53746925029085,5.29439093198156e-08,3.01118484256451e-07,7.48849798272597
"hsa.mir.200a",2.63553456546286,9.8443889897911,5.51513169301521,5.96320803244581e-08,3.30885323751566e-07,7.46654086714167
"hsa.mir.30e",-0.655677088258707,13.2602222058449,-5.52277546125485,5.7255868111901e-08,3.21622469023641e-07,7.34949435874873
"hsa.mir.324",1.15964542610976,5.72338810140545,5.44513761473957,8.63506562737353e-08,4.56855216331972e-07,7.18522688085999
"hsa.mir.410",-1.49674502119981,3.56944155504656,-5.42619112987988,9.53894286497074e-08,4.98875747535826e-07,7.07936965263275
"hsa.mir.887",-1.36082532378045,1.36910995471952,-5.39008238424752,1.15227813222208e-07,5.76139066111042e-07,6.99521230774546
"hsa.mir.10b",-1.24932967230262,14.7482271214357,-5.46154768862262,7.91989977911395e-08,4.23947576411394e-07,6.98658864403813
"hsa.mir.433",-1.59946922368124,-0.0245378959981921,-5.36702504623936,1.29933437382084e-07,6.35695849557509e-07,6.94402846640868
"hsa.mir.431",-1.43244713850176,3.14303439002971,-5.39568501398154,1.1190633450995e-07,5.72105418000305e-07,6.94298191852617
"hsa.mir.429",2.80130893014848,7.51492192152122,5.39046434531561,1.14998362184295e-07,5.76139066111042e-07,6.90373285514691
"hsa.mir.378c",-1.49577345954374,2.8990214275314,-5.3720808038079,1.26560653753308e-07,6.25924972366905e-07,6.82876590599835
"hsa.mir.181a.2",1.10658808945609,10.4444134767225,5.39940683134118,1.09751475073843e-07,5.67465013165894e-07,6.82561989885952
"hsa.mir.184",-2.44509781702816,0.845041782028688,-5.35961008366624,1.35038398502882e-07,6.5364331190225e-07,6.82271290131846
"hsa.mir.877",1.5700948615256,1.671896818851,5.30273665227704,1.81216182078907e-07,8.58889196311486e-07,6.67366844631665
