"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa.mir.744",-2.63578279060795,5.20867010019985,-9.80891875242069,8.80827444368285e-21,4.96877019900059e-20,36.3988036106634
"hsa.mir.485",-3.29584078380405,1.41593497996252,-9.70755524783451,2.0208181143712e-20,1.12551894977636e-19,35.638417296173
"hsa.mir.4728",-3.84251028146366,-0.187213412601704,-9.62624708829545,3.91797657649809e-20,2.15488711707395e-19,35.0028451842643
"hsa.mir.660",3.87028440472576,5.35954572730707,9.5176459653448,9.43319599242149e-20,5.12420523045118e-19,34.1451700535917
"hsa.mir.3173",-3.52470447807453,-0.666991680950758,-9.41118785717893,2.21803541522451e-19,1.19016534475461e-18,33.3080633270111
"hsa.mir.1307",-2.7089651508313,10.5809755467968,-9.3891123736007,2.64618068135445e-19,1.40279457806742e-18,32.9884650324358
"hsa.mir.337",3.01802972426474,4.47549224067036,9.30161090932015,5.31213330620931e-19,2.78254601753821e-18,32.4538922224387
"hsa.mir.3613",3.59421417718933,3.62222584289537,9.29942936038743,5.40493417061299e-19,2.79784827655261e-18,32.4369825409778
"hsa.mir.133a.2",-4.70225454281266,2.64485959843646,-9.09167618095606,2.77742704699681e-18,1.42100918683558e-17,30.744036854962
"hsa.mir.3940",-3.78874615394208,0.60078366823847,-9.08053514996658,3.03009955590852e-18,1.5324641432181e-17,30.7299388609093
"hsa.mir.1226",-3.57722988327718,0.0508550863270801,-9.07180153045641,3.24397923104693e-18,1.62198961552347e-17,30.6763647298062
"hsa.mir.135b",6.6136285581072,5.8522885370809,9.0301554615466,4.48807096785218e-18,2.21882160208422e-17,30.3665330574643
"hsa.mir.144",5.14546033843706,5.69084952052865,9.01190467040266,5.17253976557557e-18,2.50100823830028e-17,30.2277561615903
"hsa.mir.30b",2.78927276304417,8.17147775977763,9.01533117975805,5.03659335542238e-18,2.46233452931761e-17,30.1992108686334
"hsa.mir.136",4.17899176748751,4.74645449285698,8.97615169914638,6.82679850794548e-18,3.26499059075653e-17,29.9564868799539
"hsa.mir.605",-3.31410262986021,-0.76536367277248,-8.93566532909888,9.33877456587327e-18,4.41834495589703e-17,29.6500085383803
"hsa.mir.505",-1.7486029814638,5.68027674389335,-8.87934066269469,1.44175868834572e-17,6.74865769012888e-17,29.1218513959851
"hsa.mir.495",2.68886223487444,2.54080887330644,8.84967245755825,1.81094977863351e-17,8.38755686946046e-17,29.0030246842917
"hsa.mir.203a",3.99950579735483,13.9441487160644,8.80122983254639,2.62473680610123e-17,1.20300436946306e-16,28.4898329138553
"hsa.mir.652",-2.15563681655362,4.74328149476437,-8.77688997464262,3.16110425200785e-17,1.43390295967366e-16,28.3599677917056
"hsa.mir.7706",-2.99002420440769,1.05094761998628,-8.74276755427593,4.10002584714893e-17,1.82223370984397e-16,28.1851671768895
"hsa.mir.140",-2.2185332519358,9.23818872129436,-8.76156304697646,3.55311996303363e-17,1.59527835074979e-16,28.174174994005
"hsa.mir.433",-3.27219129868087,0.267485718811273,-8.60226389693963,1.18748783848611e-16,5.22494648933888e-16,27.1542427118547
"hsa.mir.874",-2.98137182517102,4.0466762094764,-8.59720602945522,1.23355052728772e-16,5.37388348521384e-16,27.0203955968777
"hsa.mir.429",3.22864256939764,8.43921164986707,8.55905304875087,1.64289806842987e-16,7.08701127557984e-16,26.7843298382547
"hsa.mir.17",2.73918777981697,10.268902461645,8.51376176514626,2.30591296203204e-16,9.85050197372912e-16,26.3935855606576
"hsa.mir.133a.1",-4.56698285521403,2.80697899591423,-8.47636957404774,3.0477618824386e-16,1.28943771949326e-15,26.1268269154217
"hsa.mir.92a.1",-2.47071509969388,13.1461202811856,-8.27211097252612,1.37722369676588e-15,5.77122311025701e-15,24.5494298883381
"hsa.mir.375",-3.71741719693871,14.2306325752065,-8.2609688677766,1.49419232603778e-15,6.20230776845873e-15,24.4557327444247
"hsa.mir.92a.2",-2.27168040623635,12.9185190678218,-8.1558970376686,3.21042012948716e-15,1.32017276352743e-14,23.7205575231468
"hsa.mir.326",-3.11602610153301,1.80611044118165,-8.06634578780863,6.12664475923764e-15,2.49604045746719e-14,23.2576053200114
"hsa.mir.200c",-2.1332687049685,13.3815479731913,-7.99378813070319,1.03031372879645e-14,4.15906459330678e-14,22.5726769206223
