"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa.mir.5683",1.15674867024564,1.3775550909697,4.66965002653812,3.78926954183557e-06,8.73179503118631e-06,3.39767673739203
"hsa.mir.934",-0.881380637392127,-0.435692642479926,-4.66650875508717,3.84540575836419e-06,8.75253455497361e-06,3.3913500970347
"hsa.mir.5687",0.938563772102598,-0.360827825416094,4.62860724692642,4.58895625880354e-06,1.03811144635129e-05,3.36545429523766
"hsa.mir.203a",0.533886586434289,10.5058422940461,4.73931497412872,2.72884956177988e-06,6.44842794535245e-06,3.16701678945123
"hsa.mir.3607",0.931128553825941,4.33544621865461,4.67151228368281,3.7563627940117e-06,8.73179503118631e-06,3.08676742572043
"hsa.mir.769",0.364500548296568,4.11789406410217,4.66987995022419,3.78519176522494e-06,8.73179503118631e-06,3.06640598104
"hsa.mir.451a",-0.761474135525132,6.2226469514831,-4.66650611974461,3.8454531872256e-06,8.75253455497361e-06,2.92982334935296
"hsa.mir.129.2",-0.887343141693387,-0.0183584833225116,-4.54304149279868,6.80888046827653e-06,1.49473056433763e-05,2.80263788147303
"hsa.mir.487b",-0.439837819964028,1.92646736556686,-4.57912676292911,5.76951228822364e-06,1.27410063031605e-05,2.77090695640058
"hsa.mir.424",-0.574875956716432,4.54444960148897,-4.59004173007817,5.48636590051284e-06,1.21882739466483e-05,2.66014831419854
"hsa.mir.15b",0.428783128353526,6.55947473424408,4.594969548391,5.36294870844767e-06,1.19858672941812e-05,2.63502396366605
"hsa.mir.140",0.308313225645715,9.72389641299148,4.61268900688087,4.94081636081358e-06,1.11093507264354e-05,2.61155585997985
"hsa.mir.135b",-0.859103414266261,-0.328465155346674,-4.47088962467186,9.45063677931488e-06,2.05040131293908e-05,2.5262293939794
"hsa.mir.4661",0.742458627104311,0.129160651810373,4.42711255704448,1.15055378882084e-05,2.46737257602619e-05,2.44265009176729
"hsa.mir.676",-0.701479845074762,-0.34750996679406,-4.40378039255405,1.27689674732473e-05,2.70702110432844e-05,2.2603428683913
"hsa.mir.215",-0.644327762485192,-0.212281615757508,-4.36591874681646,1.51060133710354e-05,3.18427895491711e-05,2.08649826516479
"hsa.mir.106b",0.322558167845542,8.04691908156842,4.47330939653765,9.34796863078742e-06,2.04005668354243e-05,2.04526382789448
"hsa.mir.135a.1",0.710919082578086,3.56805079417777,4.41538219648144,1.2124990007628e-05,2.58527085794827e-05,2.00530818024105
"hsa.mir.28",-0.291357741109865,11.9997270454647,-4.45143486480737,1.03162486046372e-05,2.22519083274442e-05,1.86981723322642
"hsa.mir.592",1.15726517902343,-0.00548452276121613,4.21217862175147,2.95147771358843e-05,6.15167545922084e-05,1.5855811058063
"hsa.mir.1247",-0.656919519077847,4.63231107050226,-4.28609250325562,2.14433545879008e-05,4.49462404074079e-05,1.35200296779156
"hsa.mir.129.1",-0.818686217557257,-0.0683783528788682,-4.18159573558158,3.36394168790994e-05,6.97219199002563e-05,1.29407098262083
"hsa.mir.4326",1.0131843362779,0.493962075002998,4.13618553858779,4.07897957585091e-05,8.22446425348199e-05,1.21395526506915
"hsa.mir.6507",-0.698023133349974,-0.771138923464408,-4.10257824752117,4.69893436459807e-05,9.42326837441018e-05,1.07755486613426
"hsa.mir.206",-1.78594692079072,-0.00218111926998673,-4.14519129246872,3.92656826910876e-05,8.00415839472171e-05,1.05338317120015
"hsa.mir.370",-0.380838520122561,2.16130861150296,-4.15410898495103,3.78099795679536e-05,7.75000133685679e-05,0.962502086380224
"hsa.mir.3613",0.485527411575125,2.59327788204753,4.07569914730599,5.25822722243927e-05,0.000103766079761966,0.675152673026716
"hsa.let.7b",-0.337775881308262,12.9006435003189,-4.15965162193899,3.69312554780726e-05,7.61194210131385e-05,0.652899385858118
"hsa.mir.125a",-0.288206350146658,9.05034629661792,-4.13778513085782,4.05150360344722e-05,8.21370402666075e-05,0.607561341580916
"hsa.mir.181b.2",-0.31524140276546,5.02552053328888,-4.09618681554803,4.82655676598917e-05,9.62716430205367e-05,0.575668587682809
